SYMBOL,SECTOR
INDIAGLYCO,Basic Materials
INDIAMART,Communication Services
INDIANB,Financial Services
INDIANCARD,Consumer Cyclical
INDIANHUME,Industrials
INDIASHLTR,Financial Services
INDIGO,Industrials
INDIGOPNTS,Basic Materials
INDIQUBE,Real Estate
INDNIPPON,Consumer Cyclical
INDOAMIN,Basic Materials
INDOBORAX,Basic Materials
INDOCO,Healthcare
INDOFARM,Industrials
INDORAMA,Consumer Cyclical
INDOSTAR,Financial Services
INDOTECH,Industrials
INDOTHAI,Financial Services
INDOUS,Basic Materials
INDOWIND,Utilities
INDPRUD,Unknown
INDRAMEDCO,Healthcare
INDSWFTLAB,Healthcare
INDTERRAIN,Consumer Cyclical
INDUSINDBK,Financial Services
INDUSTOWER,Communication Services
INFOBEAN,Technology
INFOMEDIA,Financial Services
INFY,Technology
INGERRAND,Industrials
INNOVACAP,Healthcare
INNOVANA,Technology
INNOVISION,Industrials
INOXGREEN,Utilities
INOXINDIA,Industrials
INOXWIND,Industrials
INSECTICID,Basic Materials
INSPIRISYS,Technology
INTELLECT,Technology
INTENTECH,Technology
INTERARCH,Industrials
INTLCONV,Industrials
INVENTURE,Financial Services
INVPRECQ,Unknown
IOB,Financial Services
IOC,Energy
